"waldStat" "df" "pvalue" "waldStat_1" "df_1" "pvalue_1" "meanLogFC"
"KRT2" NA NA NA NA NA NA 1.60456563371693
"CALML5" NA NA NA NA NA NA 1.06711669208903
"S100A7" NA NA NA NA NA NA 1.75164352876985
"KRT6B" NA NA NA NA NA NA 0.762343598414356
"SBSN" 3253.06429848164 6 0 3253.06429848164 6 0 1.98618648053905
"HOPX" NA NA NA NA NA NA 1.65757351453529
"KRT15" NA NA NA NA NA NA 2.41329214104401
"KRT6C" 506.341796466288 6 0 506.341796466288 6 0 2.1243694215741
"IGFBP3" NA NA NA NA NA NA 12.2729098640544
"VIM" 0 6 1 0 6 1 1.11116273635899
"S100A8" 77.0612057596274 6 1.4432899320127e-14 77.0612057596274 6 1.4432899320127e-14 1.45742941263682
"S100A9" NA NA NA NA NA NA 1.21705190703788
"SPINK5" 137.995405101133 6 0 137.995405101133 6 0 0.656628940219506
"KRT16" NA NA NA NA NA NA 2.6692494995066
"KRT17" 0 6 1 0 6 1 0.413568989178712
"KRTDAP" NA NA NA NA NA NA 2.76765047413984
"FABP5" 1452.95664345779 6 0 1452.95664345779 6 0 1.43518651744167
"CCL2" NA NA NA NA NA NA 1.91982898774173
"KRT6A" NA NA NA NA NA NA 1.67779209437421
"SERPINB4" NA NA NA NA NA NA 1.49472434487722
"CRYAB" NA NA NA NA NA NA 0.352586783219033
"STMN1" 1626.41017575917 6 0 1626.41017575917 6 0 1.7527821054612
"ODC1" 180.034286421377 6 0 180.034286421377 6 0 0.608421004629122
"SERPINB3" NA NA NA NA NA NA 1.39665593613105
"HIST1H4C" NA NA NA NA NA NA 0.471384746369003
"TMEM45A" 1629.16412164228 6 0 1629.16412164228 6 0 0.613269795802099
"MT2A" 2677.60230179518 6 0 2677.60230179518 6 0 0.923624634987162
"PTTG1" NA NA NA NA NA NA 0.768686612044561
"S100A2" 2258.68101227992 6 0 2258.68101227992 6 0 0.638610313009611
"CLDN4" NA NA NA NA NA NA 1.92235246348336
"KRT10" NA NA NA NA NA NA 0.913752714602336
"AREG" 433.844314722866 6 0 433.844314722866 6 0 0.494003794496544
"CFD" NA NA NA NA NA NA 0.542406150400477
"POSTN" NA NA NA NA NA NA 1.67213151456178
"CSTA" NA NA NA NA NA NA 1.45686903994917
"IFI6" NA NA NA NA NA NA 1.91804192578938
"HLA-DRA" 95.576448550781 6 0 95.576448550781 6 0 0.20927762692318
"HMGB2" 1395.56516163895 6 0 1395.56516163895 6 0 0.613497932596477
"GJB2" NA NA NA NA NA NA 0.328712664244243
"PHLDA2" NA NA NA NA NA NA 3.22341817684119
"CA2" NA NA NA NA NA NA 1.82365850801095
"FGFBP1" 0 6 1 0 6 1 1.81118572861984
"CD74" 146.693329433557 6 0 146.693329433557 6 0 0.361835189744242
"KRT1" NA NA NA NA NA NA 2.06815898076115
"CALML3" NA NA NA NA NA NA 0.619126157165659
"IFI27" NA NA NA NA NA NA 2.04831852874628
"DCN" 322.333277363745 6 0 322.333277363745 6 0 0.479427475018717
"CYR61" 1366.03770882407 6 0 1366.03770882407 6 0 0.732275039118656
"SERPINH1" NA NA NA NA NA NA 1.05812599069704
"DMKN" 3465.52447006968 6 0 3465.52447006968 6 0 1.66259846926639
"DSC1" 1706.05409941611 6 0 1706.05409941611 6 0 1.18210058167242
"SLPI" NA NA NA NA NA NA 0.96162713330247
"PMP22" 395.278960526367 6 0 395.278960526367 6 0 0.606191512828229
"GAN" NA NA NA NA NA NA 0.554768468609233
"TUBA1B" NA NA NA NA NA NA 0.283201355850621
"CTSC" 95.3748791880364 6 0 95.3748791880364 6 0 1.07329806794909
"SOD2" NA NA NA NA NA NA 0.48820306005068
"CRABP2" NA NA NA NA NA NA 1.78206071732336
"ZFAND2A" NA NA NA NA NA NA 0.649802159218925
"S100A4" NA NA NA NA NA NA 0.215145736199388
"DUSP2" NA NA NA NA NA NA 0.482342424540363
"LYPD3" NA NA NA NA NA NA 1.59230527579373
"CST3" NA NA NA NA NA NA 1.29484423968693
"SERPINB2" 233.550359310399 6 0 233.550359310399 6 0 3.53913274447197
"AKR1B10" 313.592343592611 6 0 313.592343592611 6 0 1.77940002787993
"DDIT4" NA NA NA NA NA NA 0.362388856984788
"ID4" 485.819526623832 6 0 485.819526623832 6 0 0.867025110922933
"GSN" NA NA NA NA NA NA 0.566720599447492
"LY6D" NA NA NA NA NA NA 2.65844678999318
"S100A6" 1254.55437455958 6 0 1254.55437455958 6 0 0.576983791866237
"CXCL14" 950.584384712076 6 0 950.584384712076 6 0 0.34580024911396
"NDUFA4L2" 490.262597339913 6 0 490.262597339913 6 0 1.12195412154582
"TNFAIP3" 118.5569671559 6 0 118.5569671559 6 0 0.71998860320161
"ANKRD37" NA NA NA NA NA NA 1.20233034978434
"SOX4" 574.180751000351 6 0 574.180751000351 6 0 1.61423719395075
